consulta,pais,idioma,plataforma,modelo,fecha,menciona_tresqu,cita_tresqu,url_citada,competidores,fuente_observacion,estado
asistente financiero con IA,Colombia,es,,,,,,,,,pendiente
asistente financiero por WhatsApp,Colombia,es,,,,,,,,,pendiente
agente de IA para finanzas personales,Colombia,es,,,,,,,,,pendiente
IA para finanzas personales,Colombia,es,,,,,,,,,pendiente
registrar gastos con IA,Colombia,es,,,,,,,,,pendiente
registrar gastos por WhatsApp,Colombia,es,,,,,,,,,pendiente
control de gastos por WhatsApp,Colombia,es,,,,,,,,,pendiente
app de finanzas personales Colombia,Colombia,es,,,,,,,,,pendiente
app para controlar gastos Colombia,Colombia,es,,,,,,,,,pendiente
mejor app de finanzas personales Colombia,Colombia,es,,,,,,,,,pendiente
controlar gastos e inversiones con IA,Colombia,es,,,,,,,,,pendiente
inversiones con inteligencia artificial,Colombia,es,,,,,,,,,pendiente
